Date	MSFT	VTI
2014-03-11	38.02	97.760002
2014-03-12	38.27	97.83000200000001
2014-03-13	37.889998999999996	96.699997
2014-03-14	37.700001	96.58000200000001
2014-03-17	38.049999	97.349998
2014-03-18	39.549999	98.18
2014-03-19	39.27	97.620003
2014-03-20	40.330002	98.110001
2014-03-21	40.16	97.75
2014-03-24	40.5	97.18
2014-03-25	40.34	97.099998
2014-03-26	39.790001000000004	96.290001
2014-03-27	39.360001000000004	96.089996
2014-03-28	40.299999	96.519997
2014-03-31	40.990002000000004	97.470001
2014-04-01	41.419998	98.230003
2014-04-02	41.349998	98.540001
2014-04-03	41.009997999999996	98.269997
2014-04-04	39.869999	96.91999799999999
2014-04-07	39.799999	95.760002
2014-04-08	39.82	96.18
2014-04-09	40.470001	97.33000200000001
2014-04-10	39.360001000000004	95.190002
2014-04-11	39.209998999999996	94.25
2014-04-14	39.18	94.889999
2014-04-15	39.75	95.540001
2014-04-16	40.400002	96.540001
2014-04-17	40.009997999999996	96.730003
2014-04-21	39.939999	97.120003
2014-04-22	39.990002000000004	97.620003
2014-04-23	39.689999	97.370003
2014-04-24	39.860001000000004	97.5
2014-04-25	39.91	96.550003
2014-04-28	40.869999	96.690002
2014-04-29	40.509997999999996	97.16999799999999
2014-04-30	40.400002	97.529999
2014-05-01	40.0	97.559998
2014-05-02	39.689999	97.480003
2014-05-05	39.43	97.639999
2014-05-06	39.060001	96.739998
2014-05-07	39.419998	97.190002
2014-05-08	39.639998999999996	96.93
2014-05-09	39.540001000000004	97.16999799999999
2014-05-12	39.970001	98.269997
2014-05-13	40.419998	98.209999
2014-05-14	40.240002000000004	97.66999799999999
2014-05-15	39.599998	96.769997
2014-05-16	39.830002	97.18
2014-05-19	39.75	97.629997
2014-05-20	39.68	96.900002
2014-05-21	40.349998	97.650002
2014-05-22	40.099998	97.980003
2014-05-23	40.119999	98.489998
2014-05-27	40.189999	99.139999
2014-05-28	40.009997999999996	99.029999
2014-05-29	40.34	99.559998
2014-05-30	40.939999	99.58000200000001
2014-06-02	40.790001000000004	99.699997
2014-06-03	40.290001000000004	99.660004
2014-06-04	40.32	99.870003
2014-06-05	41.209998999999996	100.68
2014-06-06	41.48	101.199997
2014-06-09	41.27	101.370003
2014-06-10	41.110001000000004	101.349998
2014-06-11	40.860001000000004	101.010002
2014-06-12	40.580002	100.290001
2014-06-13	41.23	100.620003
2014-06-16	41.5	100.699997
2014-06-17	41.68	101.059998
2014-06-18	41.650002	101.809998
2014-06-19	41.509997999999996	101.93
2014-06-20	41.68	102.16999799999999
2014-06-23	41.990002000000004	102.139999
2014-06-24	41.75	101.010002
2014-06-25	42.029999	101.519997
2014-06-26	41.720001	101.459999
2014-06-27	42.25	101.730003
2014-06-30	41.700001	101.769997
2014-07-01	41.869999	102.5
2014-07-02	41.900002	102.440002
2014-07-03	41.799999	102.980003
2014-07-07	41.990002000000004	102.440002
2014-07-08	41.779999	101.660004
2014-07-09	41.669998	102.099998
2014-07-10	41.689999	101.650002
2014-07-11	42.09	101.739998
2014-07-14	42.139998999999996	102.230003
2014-07-15	42.450001	101.970001
2014-07-16	44.080002	102.230003
2014-07-17	44.529999	101.050003
2014-07-18	44.689999	102.139999
2014-07-21	44.84	101.900002
2014-07-22	44.830002	102.41999799999999
2014-07-23	44.869999	102.660004
2014-07-24	44.400002	102.68
2014-07-25	44.5	102.139999
2014-07-28	43.970001	102.110001
2014-07-29	43.889998999999996	101.739998
2014-07-30	43.580002	101.809998
2014-07-31	43.16	99.739998
2014-08-01	42.860001000000004	99.489998
2014-08-04	43.369999	100.16999799999999
2014-08-05	43.080002	99.290001
2014-08-06	42.740002000000004	99.309998
2014-08-07	43.23	98.790001
2014-08-08	43.200001	99.93
2014-08-11	43.200001	100.290001
2014-08-12	43.52	100.110001
2014-08-13	44.080002	100.82
2014-08-14	44.27	101.260002
2014-08-15	44.790001000000004	101.269997
2014-08-18	45.110001000000004	102.18
2014-08-19	45.330002	102.690002
2014-08-20	44.950001	102.93
2014-08-21	45.220001	103.160004
2014-08-22	45.150002	103.010002
2014-08-25	45.169998	103.550003
2014-08-26	45.009997999999996	103.739998
2014-08-27	44.869999	103.68
2014-08-28	44.880001	103.57
2014-08-29	45.43	103.879997
2014-09-02	45.09	103.959999
2014-09-03	44.959998999999996	103.849998
2014-09-04	45.259997999999996	103.629997
2014-09-05	45.91	104.110001
2014-09-08	46.470001	103.900002
2014-09-09	46.759997999999996	103.16999799999999
2014-09-10	46.84	103.559998
2014-09-11	47.0	103.75
2014-09-12	46.700001	103.08000200000001
2014-09-15	46.240002000000004	102.809998
2014-09-16	46.759997999999996	103.540001
2014-09-17	46.52	103.650002
2014-09-18	46.68	104.18
2014-09-19	47.52	103.980003
2014-09-22	47.060001	103.019997
2014-09-23	46.560001	102.360001
2014-09-24	47.080002	102.690002
2014-09-25	46.040001000000004	101.08000200000001
2014-09-26	46.41	101.900002
2014-09-29	46.439999	101.720001
2014-09-30	46.360001000000004	101.239998
2014-10-01	45.900002	99.910004
2014-10-02	45.759997999999996	99.959999
2014-10-03	46.09	101.08000200000001
2014-10-06	46.09	100.879997
2014-10-07	45.529999	99.32
2014-10-08	46.779999	100.970001
2014-10-09	45.849998	98.889999
2014-10-10	44.029999	97.660004
2014-10-13	43.650002	96.099998
2014-10-14	43.73	96.400002
2014-10-15	43.220001	95.860001
2014-10-16	42.740002000000004	96.07
2014-10-17	43.630001	97.120003
2014-10-20	44.080002	98.089996
2014-10-21	44.880001	100.029999
2014-10-22	44.380001	99.25
